疾病名称,诊断
头晕,
小儿鼻炎,"怎么确定得了小儿鼻炎？
具有一种或多种下列症状：鼻痒、鼻塞、打喷嚏、流鼻涕时可以考虑为小儿鼻炎。
如果症状符合相应的变应性鼻炎、非变应性鼻炎、感染性鼻炎或其它情况，则需要根据临床线索进一步明确原因。
怀疑小儿鼻炎，可以做哪些检查？
鼻内镜检查：鼻内窥镜对于鼻炎的类型及诊断有指导意义。
血清总 IgE、特异性 IgE 和皮肤点刺试验：病史和过敏原检查相符合能诊断变应性鼻炎，对了解患儿有无特应性体质等也有一定参考价值。
病原学检查：对于感染性鼻炎，如果有明确病因的需要，可以进行一些抗原、抗体和培养检查，以指导用药。
小儿鼻炎容易和哪些疾病混淆？怎么区分？
鼻中隔偏曲
：鼻中隔偏曲以鼻塞为主要症状，常为单侧，可伴有头痛，鼻中隔偏曲患者不一定有流鼻涕、打喷嚏，鼻窦 C T或鼻内镜检查可鉴别。
鼻息肉
：鼻息肉往往伴发于鼻窦炎，也有单纯性鼻息肉患者，常常为患有息肉的病侧鼻塞，鼻塞可为单侧也可双侧，视息肉的生长情况及部位而定，鼻窦 CT 或鼻内镜检查可鉴别。
鼻腔鼻窦的肿瘤
：鼻塞、鼻出血为主要症状，其鼻塞可为单侧或者双侧，鼻炎鼻塞常常为双侧，且一般不伴有鼻出血，鼻窦 CT 或鼻内镜检查可鉴别。
脑脊液鼻漏
：脑脊液漏可引起一种或多种鼻部症状，通常导致单侧或双侧清稀的鼻分泌物，无鼻腔黏膜炎症的症状和体征。脑脊液鼻漏可由颅骨或鼻骨骨折、颅内手术，以及蝶鞍肿块向下扩展引起，鼻窦 CT 检查可鉴别。
正常鼻反射：鼻腔粘膜组织受广泛的神经支配。多种鼻反射会引起反复鼻塞、流鼻涕、打喷嚏的症状表现，类似于鼻炎。常见的正常鼻反射包括：
姿势反射
：仰卧位时，鼻充血增加，鼻充血主要表现为鼻塞；侧卧位时，较低一侧的鼻道充血增加。鼻塞会随体位改变而变化，此点可与鼻炎相鉴别。
冷和热皮肤温度反射
：皮肤突然暴露于极热或极冷环境时出现打喷嚏的症状，与变应性鼻炎暴露于过敏原而引起的喷嚏、清水样涕症状不同。
可见光和红外光反射
：突然暴露于亮光时出现打喷嚏。
支气管哮喘
：支气管哮喘可有变应性鼻炎的鼻部症状表现，变应性鼻炎也有可能发展为支气管哮喘。但是，支气管哮喘最常见表现为咳嗽和哮鸣，亦可伴有呼吸急促、胸闷或胸部压迫感及胸痛。支气管激发试验可鉴别，另外，胸片或胸部 CT 检查对于诊断也有鉴别意义。
百日咳、肺炎
等：急性上呼吸道感染虽然也有可能有咳嗽表现，但百日咳、肺炎咳嗽严重，鼻部症状较轻，这与胸片、病原学检查可鉴别。
流行性感冒
：流感症状与急性上呼吸道感染相似，但其症状严重，具有高热（通常 > 39 ℃）。"
咽炎,"咽炎怎么诊断？
一般情况下，医生根据患者的症状及体征，再结合患者的过敏史、接触过的人、去过的场所（了解是否可能接触到致病细菌、病毒，判断患病的原因）等条件，基本上就可以做出初步诊断。
但有些患者的症状不典型，所以医生可能还会开具血常规、咽拭子培养、喉镜检查等检查进一步诊断。
急性咽炎和慢性咽炎的诊断不完全相同，可以通过症状的持续时间来帮助判断，具体可以参考对应的词条内容。
怀疑咽炎，要做哪些检查？
怀疑咽炎去医院就诊时，医生会先仔细观察咽部的情况，然后根据需要有选择的进行下列检查：
血常规、C 反应蛋白等：抽血检查，用来初步判断有无感染、感染类型；
咽拭子检查：取咽部分泌物进行细菌培养+药敏试验，可以判断是哪种细菌感染，以及适合用哪种药物；
喉镜检查：了解咽喉部位具体的病变情况；
鼻腔、口腔检查，肺部 X 线，胃镜等：因为鼻炎、龋齿、肺炎、胃食管反流病等疾病都有可能会引起咽炎。如果怀疑有这些疾病，则需要做这些检查。只有去除了原发疾病，才能治好咽炎。"
早泄,"早泄能用坚持多久来诊断吗？
根据科学调查统计，目前大部分健康男性的射精潜伏期（即从阴茎插入阴道到完成射精的时间）为 4～15 分钟。但根据早泄的定义来说，
并不能简单依据射精潜伏时间来诊断早泄。
比如一个人的射精潜伏时间短于三分钟，但夫妻双方对性生活都比较满意，此时不应该诊断为早泄。
早泄应该如何诊断？
早泄的诊断应综合考虑多个因素，不能仅依靠射精时长。医生通常会结合患者的病史、性生活史、血常规、尿液分析、直肠指检以及各种评估量表来排除其他可能的疾病，如前列腺炎，从而做出初步诊断。
其中的 PEDT 量表是一种简便且可靠的工具，适用于一般男性患者（特别是在初次评估早泄时）。
其评分标准如下：
总分 ≥ 11分，表示存在早泄问题；
总分 9～10 分，表示可能存在早泄问题；
总分 ≤ 8分，表示不存在早泄问题。
注：早泄诊断量表 (premature ejaculation diagnostic tool,PEDT) 因其高效性和易用性被广泛应用于早泄的临床筛查和诊断中，帮助医生提供有价值的诊断支持，通常建议根据过去 6 个月内的情况评估，具体问题见下图。
早泄诊断需要注意什么？
应该注意与勃起功能障碍相区别，确定早泄是勃起阴茎刚插入阴道或未插入阴道即射精，勃起功能障碍可能也同时存在射精快早泄。还需要注意，在诊断前列腺炎时，需要注意可能同时合并存在早泄的。
诊断早泄需要做什么检查？
体格检查：包括常规检查和直肠指检：
常规检查：通过检查阴茎、睾丸以及有无包皮过长、阴茎弯曲畸形等情况，有助于明确患者的局部情况。
直肠指检：医生通过此检查来了解患者前列腺的情况，排除病因。
早泄评估问卷量表：包括早泄工具、早泄指数等量表，了解患者的况。
阴茎震动感觉阈值检查： 通过对龟头进行震动刺激，用于评估阴茎和阴茎头的敏感性。
汉密尔顿焦虑量表、抑郁量表：可以了解患者是否有焦虑或者抑郁的情况，来评估患者的精神心理情况。
血常规、尿液分析、前列腺液检验、空腹血糖 / 糖化血红蛋 白、睾酮（游离和总量）、雌二醇、泌乳素和甲状腺功能：可了解患者是否有其他内分泌疾病，从而来判断引起早泄的原因。"
勃起功能障碍,"勃起功能障碍该如何诊断？
医生一般通过以下几个方面进行诊断：
询问病史：认真仔细询问病史，包括夫妇同时就诊时，询问女方感受等。
勃起功能量表评估与分级：目的是可根据评分结果，将该病分为轻、中、重度。
体格检查：包括第二性征、生殖系统及局部神经系统检查，主要是为了判断各部分组织是否发育良好。
第二性征检查：主要作用是初步评估患者的第二性征变化。
生殖系统检查：目的是查看性器官的发育情况。
局部神经系统检查：目的是评估局部神经是否良好。
精神心理评估：目的是评估患者的精神心理状态，对疾病的诊断和治疗有重要意义。
心血管系统评估与分级：目的是评估患者发生心血管疾病的风险。
实验室检查：包括血常规、血生化以及激素检查，目的是发现病因和并存疾病
[1,2]
。
影像学检查：阴茎彩超，勃起和疲软状态下血流信息等；阴茎血管造影或CTA；有的需要核磁检查。
医生如何判断是不是器质性勃起功能障碍？
医生在判定器质性勃起功能障碍时，会综合考虑以下几个方面：
患者主诉：首先，医生会详细听取患者的病史和主诉，包括勃起困难的持续时间、频率、程度以及伴随症状（如性欲减退、射精障碍等）。
病史采集：患者的年龄、整体健康状况、慢性疾病史（如糖尿病、高血压、心血管疾病等）、手术与外伤史（如前列腺手术、骨盆骨折等）以及药物使用情况也是医生考虑的重要因素。这些因素都可能对勃起功能产生不良影响。
排除心理性因素：勃起功能障碍可能由心理因素引起，如焦虑、抑郁、性心理创伤等。医生会通过询问患者的心理状态、性生活经历等，尝试排除心理性因素对勃起功能的影响。
体格检查：医生会对患者进行全面的体格检查，特别是针对生殖系统和神经系统的检查。这包括观察阴茎的外观、大小、形状，检查睾丸的大小和质地，以及评估神经系统的功能等。
要判断是否是器质性勃起功能障碍，可以通过自我观察晨勃减少、勃起硬度下降，以及是否伴随慢性病或手术史来初步判断并就诊。医生会通过询问病史、体检和一些常见的辅助检查，如多普勒超声、激素检测和夜间勃起监测，来确定诊断和病因。
如何通过自我观察判断是否存在器质性勃起功能障碍？
自我观察的方法大致如下：
一、观察勃起状态
勃起硬度：器质性ED患者即使在有强烈的性欲时，也可能无法达到或维持足够的勃起硬度。如果勃起硬度明显下降，甚至完全无法勃起，这可能提示是器质性的问题。
勃起持续性：器质性ED患者的勃起往往难以维持，可能在性交过程中突然疲软。
二、注意晨勃和夜间勃起情况
晨勃减少或消失：器质性ED患者可能会发现自己的晨勃减少或完全消失。因为心理因素引起的勃起功能障碍一般不会影响晨勃，所以晨勃的减少或消失可能提示存在器质性问题。
夜间勃起监测：虽然个人难以直接进行夜间勃起监测，但可以通过观察夜间是否有勃起现象来初步判断。如果夜间勃起也明显减少或消失，那么器质性ED的可能性更大。
三、评估伴随症状
性欲变化：器质性ED患者可能会伴随性欲减退或性欲消失的情况。然而，需要注意的是，性欲的变化也可能受到心理因素的影响。
其他身体症状：如果患者同时患有慢性病（如糖尿病、高血压、心血管疾病等），或者有前列腺手术、外伤史等，那么器质性ED的风险会增加。此外，如果患者还伴随有射精障碍、延迟射精、不能射精、逆行性射精、射精疼痛等症状，也可能提示存在器质性问题。
勃起功能障碍需要进行哪些检查？
阴茎勃起监测：医生一般采取视听刺激勃起检测和夜间勃起功能检测两种检测方式，目的是评估勃起功能是否正常。
海绵体血管造影检查：主要包括阴茎海绵体血管造影和选择性阴部内动脉造影，主要是为了鉴别诊断和评估手术条件。
阴茎海绵体血管功能检测：主要通过阴茎海绵体注射血管活性药物试验和阴茎彩色多普勒超声检查，来评估阴茎海绵体血管状态
[2]
。
实验室检查：主要是性激素水平测定等。"
前列腺炎,"前列腺炎患者需要做哪些检查？
体格检查：对患者下腹部进行触诊，进行直肠指诊，检查患者的前列腺大小、外形、有无结节，盆壁有无压痛，对疾病作出初步诊断
[1]
。
前列腺液检查：检查患者前列腺液中卵磷脂小体是否减少、白细胞 ＞ 10 个 / HP、脓细胞增加，有助于临床诊断
[1]
。
尿流率、尿留动力学检查：可检测患者排尿功能情况，以鉴别是否存在其他排尿障碍相关的疾病。
影像学检查：包括 B 超、CT 和 MRI 等，可以准确知晓患者前列腺大小、包膜完整程度及回声结构是否均匀，以鉴别其他前列腺疾病。
有生育要求的人还需要查精液常规，50 岁以后的患者需要查前列腺特异性抗原（PSA）以排除前列腺癌。
前列腺液可以和精液同时化验吗？
不可以。前列腺液是精液的一部分，不能同时化验。检测前列腺液前应禁止性生活，否则会影响结果的准确性。
前列腺按摩后收集不到前列腺液怎么办？
如前列腺按摩收集不到前列腺液，不宜多次重复按摩，可留取前列腺按摩后的初始段尿液进行分析。
前列腺炎急性炎症期可以做前列腺按摩吗？
不可以。
前列腺炎急性期禁忌做前列腺按摩，因为按摩可能会致感染蔓延进而引起精囊炎、附睾炎、菌血症或脓毒血症等。
前列腺炎需要与哪些疾病区分？怎么区分？
前列腺炎的临床表现错综复杂，而且也会见于其他疾病，所以鉴别诊断很重要。
由于前列腺炎和前列腺癌都会出现尿频、排尿困难、性功能障碍的症状，故容易混淆。需要通过直肠指检、MRI 检查及前列腺穿刺活检进行鉴别。
还需区分鉴别的疾病包括：良性前列腺增生、睾丸附睾和精索疾病、膀胱过度活动症、神经源性膀胱、间质性膀胱炎、腺性膀胱炎、性传播疾病、原位癌等膀胱肿瘤、前列腺癌、泌尿生殖系结核、肛门直肠疾病、腰椎疾病、中枢和外周神经病变等。"
包皮龟头炎,"包皮龟头炎需要做哪些检查？
血常规检查：可用于评估白细胞、炎症指标是否正常，以判断是否合并全身感染。
血生化检查：可用来监测血糖水平，评估是否存在糖尿病等基础疾病。
尿常规检查：可用来判断是否合并泌尿系感染。
其他检查：真菌镜检，滴虫镜检，衣原体支原体检查，淋球菌镜检和培养，分泌物细菌培养加药敏、分泌物涂片，活检术加病理检查。这些检查主要是用来确定包皮龟头炎的病因，以及有无恶变，并指导下一步的治疗。
包皮龟头炎与哪些病比较像？
有一些症状和包皮龟头炎比较像的疾病，如淋病（尿频、尿急、尿痛、尿道口红肿、有脓性分泌物）、梅毒（尿道口丘疹）、生殖器疱疹（尿道口肿胀、出现疱疹）、银屑病（龟头发红、皮疹、瘙痒感）等。需要到医院请医生做相关检查以排除。
包皮龟头炎患者，同时有不洁性生活史，还需做哪些检查？
发生包皮龟头炎的患者如果有不洁性生活史，应到医院取分泌物涂片镜检看是否有滴虫，以排除滴虫性包皮龟头炎。
在病变的包皮龟头处取材进行镜检或培养看是否有白色念珠菌，以排除念珠菌性包皮龟头炎。
为了排除淋球菌性尿道炎、尖锐湿疣，也应该行相关分泌物检查及醋酸白试验。
在发生不洁性生活一段时间后，还应到医院进行抽血化验，以判断有没有艾滋病毒、梅毒等感染。"
尿道炎,"尿道炎需要做哪些检查？
尿常规： 是了解尿液基本情况的基础性检查，尿液收集时机因检查的目的而不一样。当尿道炎检查尿液时常选择就诊的随机、清洁尿液。 尿常规检查的目的可明确尿液内白细胞、红细胞、尿蛋白情况，以及尿液理化特征，还可做为治疗前后的对比。有时候会要求患者一次排尿分三段送检，医学上称之为尿三杯试验：即分别取同一次排尿过程中的排尿最初、排尿中、排尿最后三部分尿液检查，从而判断病变的位置。尿道炎时常见第一杯异常，第二、第三杯正常。
尿培养 + 药敏： 该检查常常要求收集排尿过程中的一段尿，即中段尿，主要目的是帮助明确致病菌，并且了解细菌对哪种抗生素敏感、耐药等，以帮助选择用药。 但该检查需要时间较长，常需 2～3 日，甚至更长，有时因特殊细菌的感染，而采用非常规培养方法，使用特殊培养基或需要较长培养时间，如结核杆菌感染，培养时间可达 1～2 月。
尿道分泌物涂片 + 培养： 当出现尿道分泌物时，常规同时完善尿道分泌物涂片检查，以初步明确致病细菌的类型，如淋球菌所致尿道炎常可于分泌物内找到革兰阴性双球菌。 但此检查常需在排尿前完善，不然有时候经过尿液冲洗导致标本无法收集。
泌尿系彩超： 此检查无创、便捷，目的是排除是否合并其他泌尿系疾病，如结石、肿瘤等。在这些疾病的基础上，易于发生尿路感染。 做这个检查需憋尿才更清楚。
膀胱镜： 该检查属于有创、侵入性检查，存在出血、感染等风险，因此，一般在影像学检查完善后才做此检查，可直接观察膀胱、尿道内黏膜情况，是否合并肿物，必要时可夹取组织送病理检查明确病灶性质。 急性尿道炎发病期间不宜做此检查。"
尖锐湿疣,"尖锐湿疣如何诊断？
大多数情况下，熟悉尖锐湿疣临床表现的医生可在光线充足下，凭肉眼根据症状和体征直接临床诊断。如果皮疹长得并不典型，肉眼难以判断，可进行辅助检查或实验室检查。
常用的辅助检查包括：醋酸白试验、皮肤镜检查、阴道窥器、阴道镜、肛门镜、直肠镜、尿道镜，这些辅助器械可以放大疣状物，方便医生进行鉴别诊断。
醋酸白试验：使用低浓度的醋酸涂在皮疹上，等 3～5 分钟后观察是否出现变白。当患者症状不典型时，使用此种方法可以有效与其他皮肤疾病进行鉴别
[1]
。但是检查过程中需暴露患者隐私部位，还可能会引起疼痛，需要患者高度配合。
常用的实验室检查包括：组织病理活检、核酸扩增试验
[1]
，活检一般是削刮可疑疣体或在较大的可疑疣体上取样来进行活检，组织病理学可用于明确诊断。
尖锐湿疣需要和哪些疾病鉴别？
与良性丘疹性皮肤病鉴别，如假性湿疣等
[6]
。
表1：尖锐湿疣与假性湿疣鉴别
假性湿疣
尖锐湿疣
赘生物
排列规则、不改变大小、鱼子状
排列不规则、可增大、菜花状
赘生物颜色
白色或淡红色的光滑丘疹
颜色可以从粉红至深红色、灰白色、乃至棕黑色
醋酸白试验
阴性
阳性
与性传播疾病鉴别，如梅毒的扁平湿疣（二期梅毒疹）
[6]
。
表2：尖锐湿疣与梅毒扁平湿疣鉴别
梅毒的扁平湿疣
尖锐湿疣
皮疹
表面糜烂湿润或轻度结痂
是菜花状的赘生物
梅毒血清实验
阳性
阴性"
生殖器疱疹,"生殖器疱疹如何诊断？
生殖器疱疹需根据患者的流行病学史、临床表现和实验室检查的结果进行分析
[3]
：
流行病学史
：患者不安全性行为（多性伴侣、有婚外性行为等）、性伴侣有感染史等流行病学史。
临床表现
：患者生殖器和肛门部位皮肤出现疼痛性的丘疹、水疱、脓疱、溃疡等。
实验室检查
：
病毒分离培养法：是生殖器疱疹实验室诊断的「金标准」，医生会在皮损处、尿道内、宫颈管取分泌物进行培养，一般需要 2～4 天，也可能长达 14 天。
改良的病毒分离培养法：与病毒分离培养法类似，但会通过离心缩短时间，一般 48 小时内出结果。
细胞学检查：在皮损处取分泌物进行检查
[1]
。
生殖器疱疹需要与哪些疾病进行区分？
生殖器疱疹应与其他具有生殖器溃疡表现的疾病进行鉴别，如硬下疳、软下疳等：
硬下疳（一期梅毒）：硬下疳与生殖器疱疹都发生于生殖器，且都可能造成溃疡，但硬下疳一般为单个圆形溃疡，边界清楚，略高于皮面。可以通过电子显微镜检查进行鉴别，硬下疳镜下可观察到梅毒螺旋体；生殖器疱疹则不会
[1,3]
。
软下疳：软下疳与生殖器疱疹都发生于生殖器，且都可能造成溃疡，但软下疳典型生殖器表现是深在的、潜行性、化脓性溃疡，并且可能伴有疼痛性腹股沟淋巴结炎。通过图片显微镜检查和细菌培养可以检出杜克雷嗜血杆菌，而生殖器疱疹为病毒感染
[3]
。
白塞病：75％ 的白塞病患者会出现生殖器溃疡（ 每 100 个白塞病患者有 75 人可能出现生殖器溃疡），所以易与生殖器疱疹混淆。但白塞病出现的生殖器溃疡大而深，持续时间也比较长，通过实验室检查查不到单纯疱疹病毒或梅毒螺旋体等，以此可以鉴别白塞病及生殖器疱疹
[3]
。"
肾错构瘤,"肾错构瘤需要做哪些检查明确？
肾错构瘤诊断一般不困难，常见的辅助检查有泌尿系彩超、腹部平片（X 线）、泌尿系 CT、MRI、尿常规、肾功能。
肾错构瘤的辅助检查有什么作用、利弊？
腹部平片（X 线）：诊断错构瘤的价值较低，无明显特异性，可发现肿瘤部位有透气区，但常被误认为肠腔内气体。
泌尿系彩超：该检查诊断该病颇具特征，且简单、便捷、无创、便宜，常作为该病的初步筛查，表现为边界清楚内含强回声的肿物，但有时难以与肾癌鉴别，特别是小肾癌。
泌尿系 CT 平扫：该检查便捷、无创，因肾错构瘤通常含有较大比例的脂肪，
CT 可有明确的影像征象，是诊断该病的主要方法
，而且可以明确肿瘤大小、位置、形状等，有助于手术医师术前判断。
泌尿系 CT 增强：肾错构瘤一般不需要该检查，但当肾错构瘤 CT 平扫不典型或与肾癌鉴别有困难时，需完善该检查，价格相对平扫更贵，且一定要在 CT 平扫做完后再做此检查意义更大。
MRI：该检查无辐射，但价格偏贵，且时间长，且不适用于体内磁性植入物及幽闭恐惧症人群，但也在诊断该病方面逐渐发挥作用。
尿常规：可发现尿液内有无血尿（即有无红细胞，正常人是没有的）。
肾功能：可明确双肾的总功能，也可指导治疗方案的选择。
肾错构瘤在做完以上检查后，有无必要做穿刺?
不需要，以上检查可基本确诊肾错构瘤。
肾错构瘤的最终诊断标准是什么？
泌尿系彩超、泌尿系 CT 等检查可基本确诊肾错构瘤，但最终以手术后的病理为准。
肾错构瘤会与哪些疾病混淆？
最容易混淆的是肾癌，且二者有时可共同存在；其他的还有多囊肾、肾母细胞瘤、肾血管瘤等。"
肾积水,"肾积水的诊断需要做哪些检查？
尿液和血液检查：可通过尿液和血液检查肾功能以及有无并发感染情况，判断可能引起肾积水的全身性疾病。
泌尿系 B 超：是确认肾积水的重要检查手段，该检查简单、无创、经济，可以显示肾脏的组织形态，也可以了解尿路基本情况，如有无结石、肿瘤等，可明确大部分肾积水的发生原因。
CT 和 MRI ：除了可以判断肾脏和尿路的情况，还可判断其他邻近器官有无病变和异常，如前列腺、宫颈、结肠等组织疾病，明确肾积水的原发疾病。
静脉肾盂造影：必要时可行该检查，可以直观地观察肾脏和尿路的组织结构，根据显影情况对肾脏功能作出粗略的判断，对明确发病原因及制定后续的治疗方案均有重要作用。
同位素肾图，或动态肾显像，可以分别评估两侧肾脏的功能状态。
可经尿道、输尿管插入导管注射造影剂（逆行肾盂造影）观察尿路形态，因为侵入性操作，可能出现感染等并发症。
内镜检查，包括膀胱镜、输尿管镜等，可用于明确梗阻病因，同时可进行相应治疗，如碎石取石、狭窄切开、肿瘤电切等等。
肾积水为什么需要做这些检查？做检查时有什么注意事项？
尿液和血液检查可初步判断有无肾功能不全、尿路感染、血尿、蛋白尿等情况。尿液检查时，应采取中段尿（采取小便时，中间的那段小便）作为检查样本，防止尿液被污染。
泌尿系B超可以初步判断有无肾积水。常规泌尿系B超需要憋尿，但是如果怀疑有肾积水，则不需要憋尿，以免加重肾积水。
CT 和 MRI 可以判断泌尿系统及邻近组织的情况，有助于判断引起肾积水的原发疾病。需要注意的是，体内有金属植入物，应告知医生，根据具体情况评估是否可进行接受 MRI 检查。其他患者接受检查时，应除去身上有铁磁性的物品及电子物品。
静脉肾盂造影可清晰得显示泌尿系统梗阻情况，有助于医生评估病情严重程度和制定治疗方案。静脉肾盂造影需要注射造影剂，对碘过敏、肾功能不全、甲亢患者需谨慎。
逆行肾盂造影检查可能发生感染等并发症，如果患者有感染表现，如尿液改变、发热等情况，不宜进行此项检查。
肾积水容易和哪些疾病混淆？
肾积水本身一般通过 B 超、CT 等影像学检查可发现，但可能与肾囊肿、肾脓肿等疾病混淆，更重要的是导致肾积水的原发病的诊断和鉴别。"
性高潮障碍,"性高潮障碍怎么进行确定？
性高潮障碍的诊断标准要点如下：
在大部分（≥ 75%）性行为中，存在下列两种症状中的任意一种：
性高潮明显延迟、频率明显减少或缺失；
性高潮感的强度明显降低。
症状已至少持续约 6 个月。
症状导致个体出现明显的主观痛苦和厌烦。
不能用其他疾病或因素来解释性高潮障碍：比如非性方面的精神障碍（如抑郁症），严重关系问题（如伴侣暴力），其他重大应激事件（如婚姻或家庭重大负面事件）、药物作用（如选择性 5- 羟色胺再摄取抑制剂或第一代抗精神病药）或其他躯体疾病（如多发硬化、酒精中毒、盆腔手术等）。
性高潮障碍应该与哪些情况进行区分、鉴别？
性高潮障碍的鉴别诊断包括：
药物和物质导致的疾病：如多发性硬化、酒精中毒等；
医源性病因：包括 5- 羟色胺能抗抑郁药及盆腔手术等；
其他精神障碍：如重性抑郁等。"
小阴茎,"小阴茎如何诊断？
小阴茎的诊断是指阴茎体充分伸展的长度(SPL)小于同年龄或同一性发育状态的阴茎长度均值的-2.5个标准差，且无女性化特征，无尿道下裂表现；
对于新生儿足月儿来说，SPL ≤1.9 cm 就是小阴茎。
儿童阴茎长度的测量是如何进行的？
儿童阴茎标准的测量方法是将阴茎置于伸展状态，沿着阴茎背部，测量从耻骨联合阴茎根部至顶端的距离即为阴茎长度(不包括包皮长度)。测量肥胖或隐匿性阴茎、埋藏阴茎患儿时须尽量推开耻骨联合前脂肪垫及周围组织，以使其测量准确。
小阴茎诊断时需要做哪些检查吗？
一旦发现儿童小阴茎，应采取以下检查手段，明确病因及鉴别诊断：
染色体检查
：行 SRY 基因的 FISH 检查以及相关基因检测。
激素检查
：括促性腺激素(FSH、LH)、性腺激素等。
影像学检查
：
盆腔 B 超：了解内生殖器官结构；
肾上腺 CT：了解有无肾上腺皮质增生，肿瘤等；
磁共振成像：用来了解性腺轴发育缺陷，如垂体柄发育不良综合征，中枢性尿崩症等。"
龋齿,"龋齿需要进行什么检查呢？
医生怀疑是龋齿，可能会进行以下几方面检查
[1]
：
视诊
：观察患者的牙齿颜色，看是否出现白垩色、黄褐色或棕褐色斑点，以及牙齿的缺损情况，查看是否有龋洞形成；
探诊
：用牙科探诊探查牙洞的深度和牙齿的敏感度等；
叩诊
：用金属器械水平或垂直叩击牙冠部，以检查根尖部和牙周膜的状况；
松动度
：用镊子夹住牙齿，看有没有松动；
牙髓温度测试
：分为冷测法和热测法，中龋、深龋患者对冷、热、酸、甜刺激敏感，尤其是深龋患者遇刺激时疼痛较为明显。
X 线检查
：拍 X 线片，有助于确定龋洞的位置、深度以及其周围情况。
龋齿治疗都要拍牙片吗？
在临床上，不是所有的龋齿都要拍牙片的。
如果浅龋是不需要拍牙片的；但是，龋洞形成后治疗前拍牙片，医生要通过牙片了解牙洞的深度广度以及牙洞与牙神经的距离。
龋齿病人为什么自己看不到？
一般的龋齿容易发生在牙齿的窝沟位置，比较容易发现；而有的龋齿是发生在两个牙齿之间的位置或者是在牙齿的颈部被牙龈覆盖不容易被发现，这种情况只能通过拍摄 X 线片才能被发现。
龋齿和牙齿黑斑一样吗？
不一样。牙齿色素沉着可能是平时喝咖啡、浓茶及抽烟时，烟渍、茶渍、咖啡渍堆积，或者是牙釉质发育不全，釉质层缺损吸附外源性色素所形成的。
在幼儿牙上出现黑斑，并且刷牙去不掉的话，很可能是龋齿，应该及时去牙科进行治疗。"
牙周炎,"牙周炎怎么诊断？
牙周炎一般根据症状，结合口腔检查、血常规、X 线检查的情况，就可以诊断，一般不需要特殊的检查。
牙周炎需要做哪些检查？
体格检查：观察牙龈部位是否存在充血、肿胀、溃疡或其他异常，初步了解基本情况。
血常规检查：用于辅助诊断，判断有无感染。
X 线检查：观察牙槽骨损害情况，判断牙齿附着丧失程度及疾病的波及范围和严重程度。"
智齿,"智齿是如何诊断的？
智齿完全埋伏或正常萌出时一般无症状，可通过 X 线片检查明确诊断。当发生冠周炎出现疼痛时，通过进行口腔检查结合口腔全景片等牙齿 X 线可以明确诊断。
智齿拔除前一定要拍片吗？
需要，下颌智齿牙根与下牙槽神经管位置密切，通过 X 线片可以清晰地了解智齿牙根的数目和形态、智齿与邻牙、牙槽神经管的位置关系等，方便医生有针对性的拔牙，有助于手术操作。"
牙髓炎,"牙髓炎患者怎么知道自己可能得了这种病？
牙髓炎主要表现为各种类型的疼痛，当感觉到牙齿喝冷热水痛、自发痛、夜间痛、咬物痛时，说明有可能是牙髓炎，此时请及时就诊到医院或牙科诊所进行相应的检查确诊。
牙髓炎需要进行什么检查？
到了口腔科，为诊断牙髓炎，医生可能会进行以下检查：
牙髓活力温度测验：用冷水、小冰棒或者热牙胶放在牙齿表面，无反应表示牙髓已坏死，瞬间的疼痛表示可复性牙髓炎，剧烈疼痛表示急性牙髓炎，迟缓的疼痛表示慢性牙髓炎。
牙髓活力电测试：放一个探头在牙齿表面，听医生的指示，当出现麻刺的感觉抬手示意医生，同时对侧的牙齿也会做同样的检查作为对照。
咬诊：如果患牙怀疑隐裂，放小棉球或棉签头在牙上，咬下去有隐裂则产生疼痛。
试验性备洞：当医生不好判断神经是否活着，会直接用牙钻直接磨牙齿，若没感到疼痛，说明牙髓已死；若感到尖锐疼痛，表示牙髓没死，需要打麻药后再接着治疗。
牙片：在口腔放射科，在医师指示下坐在椅子上，医生会放一张邮票大小的片子到你嘴里贴着牙齿，他会教你怎么自己用手指伸进嘴里按住片子，保持不动等医生回来取出片子就可以等出片了。牙片可以反映有无继发龋、邻面龋、冠根折、隐裂、有无根尖炎症等，也有助于下一步的根管治疗。"
牙龈炎,"牙龈炎和牙周炎有什么区别？
牙龈炎和牙周炎都可以导致牙龈出血、红肿、疼痛，但二者本质是不同的。
牙龈炎的炎症病损局限于牙龈组织，没有牙槽骨的吸收，治疗后恢复效果较好。
牙周炎的病损更深，伴有牙槽骨的吸收，可能会导致牙齿松动，治疗后效果不及牙龈炎。
牙周炎是牙龈炎继续发展的结果，产生牙龈萎缩、牙槽骨吸收、牙齿附着丧失等不可逆后果。
牙龈炎如何诊断？
医生会通过询问相关信息，观察牙龈状况，牙龈附近牙面有无明显的菌斑、牙结石堆积、牙龈肿胀，即可诊断。
为区别是否为牙周炎时，还需进行 X 线片检查，观察有无牙槽骨吸收。"
口腔溃疡,"口腔溃疡在什么情况下应该去医院就诊？
口腔溃疡伴随以下症状和情况时，应立即前往医院就诊：
口腔内位置固定的溃疡 2 周没有愈合；
溃疡越长越多，越长越大，越长越疼；
除了口腔里长了溃疡，手足、眼睛、生殖器或全身其它部位也出现了溃疡、疼痛或者其它不适症状等。"
