疾病名称,症状
性高潮障碍,"性高潮障碍的临床特点有哪些？
性高潮障碍可表现为完全缺失性高潮；或性高潮延迟（即需更长时间或更强刺激才可达到高潮）或体验到的性高潮程度较轻。
或即将出现性高潮，但虽然持续刺激仍未达到高峰或解决的感觉（这种情况可能产生性挫败感）。
性高潮障碍可能是终身性的（在任何情况下均未出现过性高潮）或获得性的（之前有过性高潮但之后不再有性高潮），普遍性的（任何情况下都没有性高潮）或情境性的（发生在特定情况下，如可通过自慰获得性高潮，但与性伴侣发生性行为时不能获得性高潮）。"
小阴茎,"小阴茎的患儿多会有哪些临床表现？
小阴茎患儿除了直观的阴茎短小，还常伴有小睾丸、隐睾、小阴囊等其他外生殖器发育不良。"
龋齿,"龋齿会导致牙痛吗？
浅龋一般无疼痛感，中龋可有酸甜冷热刺激的一过性疼痛，刺激去除后症状立即消失，深龋则可产生刺激疼痛，疼痛可持续几天，甚至自发疼痛。
龋齿有哪些症状？
牙痛
：牙齿疼痛感会因病变深度不同而变化，浅龋一般无疼痛感，中龋可有酸甜冷热刺激的一过性疼痛，深龋则可产生刺激疼痛，如冷热刺激。
牙齿颜色变化
：病变牙齿可见颜色改变，浅龋牙齿窝沟部位变黑，平滑面龋呈白垩色、黄褐色或褐色斑点；中龋和深龋的龋损部位牙本质呈黄褐或深褐色
[1]
。
牙齿形态改变
：浅龋患者变程度较浅，牙齿光滑度稍有下降，尚无牙齿形态改变；中龋患者可见龋洞，牙齿质地较软；深龋患者病变已深入牙齿内部，可见龋洞，牙齿质地较软。
吃东西容易塞牙
：牙齿表面有龋洞时，进食时食物容易嵌塞在龋洞里，不易清洁。
口腔异味
：进展至深龋时，经常会有食物嵌塞，导致口腔出现口臭。
龋齿会引起哪些并发症？
严重的龋齿若得不到有效、及时的治疗，有可能引起以下并发症：
根尖周病
：随着病情的发展，深龋病变侵犯牙体根部，可引发根尖周病。患者可出现牙齿咬合痛、牙龈肿胀，甚至发热、乏力等症状。
颌骨炎症
：若不及时给予有效治疗，炎症扩散至颌骨，导致颌骨炎症。患者可出现颌面部肿胀疼痛、局部皮肤发红发热、咀嚼困难等。
龋齿为什么会产生剧烈疼痛呢？
当龋洞很深时，细菌感染会累及到牙神经，发展为牙髓炎。牙髓炎是指发生于牙髓组织的炎性病变。牙髓是主要包含神经血管的疏松结缔组织，位于牙齿内部的牙髓腔内。
牙髓炎可产生自发阵发性疼痛（未受到任何刺激也会产生疼痛感），夜间痛，温度刺激加剧疼痛，疼痛无法准确定位。俗话说的「牙疼不是病，疼起来真要命」就是指的这一病程。
龋齿为什么会发展为牙髓炎？
牙神经被包裹在牙齿硬组织的内部，当牙齿硬组织被细菌破坏时，也就是发生龋齿的过程中，细菌会向牙齿的深层进展，当龋洞较深时，也就离牙神经越来越近，细菌会侵入神经，导致牙神经发炎，也就是牙髓炎。
龋齿为什么都坏了很多年了也没疼呢？
龋齿根据病变进展速度分为急性龋、慢性龋和静止龋
[1]
。一般，静止龋可能存在很长时间了也没症状。主要是因为龋齿发生后，由于不同的原因，致龋因素消失，病变不会继续发展。
不过，这种情况也应该到医院检查，如有需要应该充填治疗。"
牙周炎,"牙周炎的主要症状有哪些？
牙周炎的主要症状和临床表现有牙龈炎症和出血（颜色呈鲜红或暗红色），可伴有牙龈水肿、牙周袋形成、牙槽骨吸收、牙齿松动和移位。
患者常因为刷牙时牙龈出血，或者感到牙齿松动来就诊。
牙周炎病人为什么容易牙龈出血？
有大部分牙周炎患者因牙龈出血到医院就诊，牙龈出血的原因大概可以归结两类：
当口腔卫生差时，牙齿靠近牙龈的位置容易存积大量牙石，这些牙石会刺激牙龈，导致牙龈充血甚至自发性出血，造成牙龈出血
[6]
。
当存在全身性疾病时，如自身存在血液系统疾病或高血压等，牙龈出血只是系统性疾病的局部表现
[6]
。
牙周炎为什么会导致牙齿松动？
一般地，牙周炎会造成牙槽骨的吸收，牙槽骨对于牙根来说，就如同大树周围的土，如果大树周围没有土了，那树必然会死掉；同样的，牙槽骨包裹在牙根周围，牙槽骨吸收没了，牙齿肯定会松动的
[3]
。
牙周炎会产生剧烈疼痛吗？
一般情况下，单纯的牙周炎不会产生剧烈疼痛，但会有轻微的隐痛或胀痛；当有急性炎症或者化脓时，会有剧烈疼痛；或者合并牙神经发炎时也会出现剧烈疼痛。
牙周炎可能导致急性牙周脓肿或逆行性牙髓炎，均可以产生剧烈疼痛。
牙周炎的牙齿如果没有及时治疗，会有什么后果？
牙周炎的早期会出现牙龈的退缩、牙齿的轻微松动。如果没有得到及时的治疗会出现牙槽骨的大量吸收，从而出现牙齿的松动和移位、出现牙缝变大、刷牙出血、口腔异味、牙龈萎缩、咬合无力等情况。病情继续发展就会出现牙槽骨吸收到根尖，松动严重导致拔牙或牙齿自身脱落
[3]
。
牙周炎与全身疾病有关系吗？
牙周炎和全身疾病有一定关系。
目前，关于这方面的研究有很多，包括牙周炎与糖尿病、心脏病、呼吸系统疾病、肾病和早产低体重儿等的关系。
糖尿病会使人体的牙周组织对细菌等局部致病因素的抵抗力降低，从而加重和加速牙周的破坏
[7]
。
当牙周炎导致牙龈破溃，某些细菌会进入血液，甚至侵入心血管内皮中，血管内皮沉积脂质并包裹细菌，反复的脂质沉积导致冠心病
[7]
。
血液病和遗传性疾病如重度贫血、白细胞功能障碍、先天性心脏病、艾滋病等也能引起牙周炎。
对于有全身疾病的患者要提高警惕，尽早到医院进行口腔检查，做到早发现，早治疗，提早预防。
牙周炎会造成牙齿对冷热酸甜的敏感吗？
这是有可能的。随着牙周炎的发展，大部分病人会出现牙龈萎缩和牙槽骨吸收，这样会造成牙根暴露，最终会导致牙齿对冷热酸甜刺激敏感。
牙周炎会造成牙髓炎吗？
牙周炎向深部发展时，细菌可通过根尖孔侵犯牙髓组织，引起牙髓炎症，称为逆行性牙髓炎
[8]
。"
智齿,"智齿发生阻生会有什么表现？
当智齿部分阻生或不能完全长出时，牙龈覆盖的牙冠周围软组织易形成炎症，此时多表现为：
智齿周围牙龈肿胀疼痛。
颌面部充血水肿，由于迟牙位置不正，在其牙冠与牙龈中间的间隙留有食物残渣，进而引起感染导致牙冠周围软组织牙龈肿胀疼痛。
当炎症、肿痛波及邻近的组织，可能出现张口困难、吞咽疼痛，颌面部充血水肿。
如果智齿朝着脸颊方向生长，会磨伤颊部的黏膜；如果向舌头方向生长，会带来舌异物感。
严重者会有全身不适、头痛、体温上升、食欲减退等症状。
每当抵抗力下降时，迟牙便有可能发炎。"
牙髓炎,"牙髓炎有什么分类？
牙髓炎分为可恢复性牙髓炎和不可恢复性牙髓炎。
可恢复性牙髓炎经过一定的治疗可以消除症状，避免杀神经。
不可恢复性牙髓炎治疗需要杀牙神经，分为急性牙髓炎、慢性牙髓炎和逆行性牙髓炎。
当牙髓受到外界刺激时，血管内液体渗出，中性粒细胞增多，形成急性牙髓炎；
也可表现为血管增生胶原纤维形成，形成肉芽肿，就是慢性牙髓炎；
当牙周炎的细菌经过根尖孔进入牙髓，引起炎症叫逆行性牙髓炎。
牙髓炎有什么症状？
不同的牙髓炎症状会略有不同，对患者来说主要是自发的疼痛或者是在咬东西，或者冷、热等外界刺激下的疼痛。
可恢复性牙髓炎：患牙受冷、热刺激或酸、甜刺激时，出现瞬间的疼痛，没有外界刺激的时候不会自发痛。
急性牙髓炎：没受到外界刺激的情况下，突然发生剧烈疼痛，一阵一阵地疼；疼痛在夜间发作；冷热刺激痛，牙髓化脓的时候表现为热痛冷缓解；不能定位哪颗牙痛，疼痛呈放射性或牵扯着疼，可放射至面部、太阳穴处、耳朵，但疼痛不会放散到对侧。
慢性牙髓炎：有时出现阵发性隐痛或钝痛；有长期的冷、热刺激痛史；患牙咬合不舒服或轻度疼痛；可以定位是哪颗牙齿。
逆行性牙髓炎：牙周病时牙周袋内的细菌通过根尖孔进入牙髓，引起牙髓炎，可有急性或慢性牙髓炎的症状。"
牙龈炎,"牙龈炎的常见症状有哪些?
牙龈炎包含多种类型，但大多都具有以下的典型症状：
牙龈出血：刷牙、进食或使用洁牙工具时，可发现牙龈出血，一般不会自发性出血。
牙龈颜色改变：健康的牙龈是粉红色，牙龈炎可使牙龈颜色改变，呈鲜红或暗红色。
牙龈外形改变：正常牙龈菲薄呈扇贝状紧贴于牙面；患牙龈炎时，由于组织水肿，牙龈边缘变厚，不再紧贴牙面，有时呈球状增生。
牙龈质地松软：正常牙龈质地致密坚韧，牢固地附着于牙槽骨表面；患牙龈炎时，牙龈变得缺乏弹性，质地变松软脆弱。
龈沟液增多：健康牙龈有极少量的龈沟液，对牙齿有一定保护作用，患牙龈炎时，龈沟液增多，甚至出现龈沟溢脓现象
[1]
。
口臭：口腔出现异味，味道难闻，特别发生于急性坏死性溃疡性龈炎。
疼痛：一般的慢性牙龈炎通常没有疼痛症状，多见于急性龈乳头炎、急性坏死性溃疡性龈炎。
需要注意的是，牙龈炎一般不会自发性出血，如果出现自发性出血，可能与血液病有关。
牙龈炎会剧烈疼痛吗？
一般情况下，牙龈炎不会产生剧烈疼痛，会以刷牙或咬物出血为主要特征。但是对于急性龈乳头炎或者急性坏死性牙龈炎时，会出现剧烈疼痛
[1]
。
牙龈炎会牙齿松动吗？
如果把牙齿比作大树，牙槽骨就是大树植根的土壤。在牙龈炎阶段，炎症尚未导致牙槽骨的吸收，牙齿不会松动。
但当牙龈炎没有得到及时控制，发展成牙周炎时，牙槽骨发生了吸收，才会出现牙齿松动
[1]
。
妊娠期牙龈炎和妊娠期有什么关联？
由于妊娠期体内激素水平的变化，可能诱发牙龈炎或使原来的牙龈炎加重。
患者一般从妊娠 2～3 个月后开始出现明显症状，至 八个月时达到高峰。
分娩后约两个月时，牙龈炎可减轻到妊娠前水平
[1]
。"
口腔溃疡,"口腔溃疡常发生于哪些部位？
口腔溃疡可以长在口腔黏膜任何部位，最常见的部位有：唇、舌、颊黏膜及上腭。
口腔溃疡有哪些表现？
常见表现为圆形至椭圆形表浅局限性溃疡，边缘发红，中央呈黄白色，常常有接触性疼痛，影响进食或说话。就是典型的「黄，红，凹，痛」的症状。"
唇炎,"唇炎有哪些常见表现？
由于引起唇炎的病因不同，可分为剥脱性唇炎、腺性唇炎、良性淋巴增生性唇炎、肉芽肿性唇炎、光化性唇炎、变态反应性唇炎、慢性非特异性唇炎等
[1]
，具体表现举例：
剥脱性唇炎：上下唇干燥、结痂、皲裂及出血；
光化性唇炎：下唇干燥、结痂、皲裂；
肉芽肿性唇炎：下唇弥漫性实质性肿胀。
根据病程可分为以下情况：
急性期唇炎：可见唇黏膜红肿、水疱、糜烂、脱皮或淌水，结痂等表现；
慢性期唇炎：可见唇黏膜红肿、肥厚、表面弹性差、裂口。"
癌前病变,"癌前病变有哪些症状和表现？
腺瘤样息肉：消化道上皮瘤样变，导致胃、结肠、直肠等部位内壁上出现息肉，表现为腹痛、便秘、便血等。
黏膜白斑：发生在口腔、食管、阴茎、外阴、子宫颈等黏膜处的，不能擦去的白色病变，表现为灰白或乳白色的点状、片状或条状的角化性斑片，逐渐发展会凸出黏膜表面，出现溃疡，底部变硬或变厚。
乳房肿块：乳腺纤维囊性增生、非典型增生、导管内乳头瘤等，表现为乳房肿块、疼痛、乳头溢液等。
肝脏病变：肝脏由于各种原因变形、变硬，表现厌油、乏力、食欲减退，逐渐出现皮肤黄染、恶心等。
长期不易恢复的溃疡：食管、子宫颈和口腔等部位的黏膜发生鳞状上皮非典型增生，表现为相应部位的溃疡糜烂、疼痛等。
癌前病变会变成癌吗？
此类病变大多数会稳定存在，不会发展成癌症，只有一小部分会发展成癌症。例如胃癌前病变胃癌发生率在  0.25％～0.6％
[3]
之间。"
智齿冠周炎,"智齿冠周炎有急性、慢性之分吗？
有。智齿冠周炎根据起病快慢分为急性智齿冠周炎和慢性智齿冠周炎。
急性智齿冠周炎往往在几天内就会迅速出现症状；而慢性智齿冠周炎临床上多无明显症状，仅仅出现轻度压痛或者不适。
智齿冠周炎急性期有什么表现？
急性智齿冠周炎可以有局部和全身的症状：
局部表现
急性智齿冠周炎的早期，患者仅仅感觉患侧磨牙区胀痛，当吃饭、大开口时疼痛加重，一般持续 3～5 天。
如果病情进一步发展，局部可能呈现自发性跳痛，也就是不咬牙时也出现一跳一跳地疼，或者向头部的放射性痛。
病情再进一步发展，炎症波及周围负责咀嚼的肌肉时候，会出现不同程度的开口受限，甚至出现牙关紧闭。
全身症状：病情严重时，全身可出现不同程度的畏寒、发热、头痛，及食欲减退
[1]
。
智齿冠周炎慢性期有什么表现？
慢性冠周炎在临床上多无明显症状，仅有局部在吃东西、刷牙或者自己用手压时的轻微压痛不适
[1]
。
智齿冠周炎，自己对着镜子能看到吗？
当急性智齿冠周炎发作时，对着镜子可以看到智齿周围的牙龈红肿，边缘糜烂，有时可从旁边牙肉（龈袋内）排出脓液。
另外，由于口腔不洁，还可见舌苔变厚。有时患者自己能感到智齿旁边有咸味分泌物渗出
[1]
。
智齿冠周炎没有及时治疗，可能出现哪些情况？
智齿冠周炎没有及时治疗，就会引起炎症的直接或间接扩散。因炎症波及的区域不同，出现的症状也会不同：
颊部脓肿：由感染向脸颊部扩散形成，表现为脸颊里面有个疙瘩，伴有疼痛。
咬肌间隙脓肿或边缘性骨髓炎：由感染沿下颌外侧面向后扩散导致。表现为局部肿胀、疼痛、牙周溢液、牙齿松动、发热等。
下颌间隙、咽旁间隙或扁桃体周围脓肿、口底蜂窝织炎：感染沿下颌内侧面往后扩散导致。表现为局部红肿热痛，严重者会出现高热、寒战等症状。还会影响语言、咀嚼、吞咽功能
[1]
。"
近视,"近视会有什么表现？
视力下降：近视眼最突出的症状是看不清远处物体，但近距离可以看清
[1]
。
视疲劳：近视患者看不清远处物体，为了看清远距离物体，眼睛长时间动用调节，就像照相机一直在调焦距一样，会引起视疲劳
[1,6]
。
眼位外斜：由于近视眼看近时清楚，看远不清，当看远时，患者一般用视力稍好的那只眼看；而另一只眼经常不用，双眼内聚功能减弱。长时间另一只眼眼会偏向外侧，形成外斜视
[1]
。
眼球变形突出
[1]
。由于近视，眼轴增长，眼球前后也会随之增长，造成眼球变形。
眼底改变：低度近视眼眼底变化不明显，高度近视眼，因眼轴的过度伸长，可引起眼底的退行性改变，豹纹状眼底、近视弧形斑、巩膜后葡萄肿等，可能会导致包括视网膜脱离、视力进一步下降等严重后果
[1]
。
近视对眼睛可能有什么危害？
近视，尤其是高度近视的危害性很大，主要有：
视网膜的变性、裂孔、脱离
[2]
。
玻璃体病变，就是飞蚊症，它的表现是，如果人在看比较亮的背景的物体时，会感到眼前有像蚊子一样的东西飞来飞去
[1,4]
。
和正常人相比，视网膜发生脱离、撕裂、裂孔、黄斑出血等病变的可能性要大得多。绝大部分的人是不会因为近视眼而导致失明的
[1,4]
。
斜视、弱视，近视眼可引起外斜或外隐斜，如双眼近视度数相差大于 300 度者，易引起度数深的眼外斜和弱视
[1,4]
。
后巩膜葡萄肿变性近视眼由于眼球自赤道部向后过度延伸，后极部巩膜明显变薄，发生局限性扩张，在眼内压的作用下，巩膜膨出而形成大小不等的后巩膜葡萄肿
[1,4]
。
近视度数在成年后是否还会继续加深？
因人而异。
一般来说，成年后随着年龄的增长，屈光度逐渐趋于稳定，眼镜度数也不再增加 —— 主要是因为眼球轴长的变化趋于稳定，就像身高一样，成年后到一定阶段就不长了。
长时间近距离用眼的不良行为习惯是诱发近视的重要影响因素之一，所以当长时间近距离用眼过度，度数也可能会有小幅度的增加；但通常增加的幅度不会太大。
此外，有些疾病导致眼轴延长或者眼部组织病理性变化就会使得近视度数加深。例如糖尿病患者存在眼部并发症，近视也可能会加深
[1]
。"
散光,"散光有哪些常见症状和表现？
最常见的表现便是视物不清、单眼看东西重影，因此也常常会出现视疲劳（出现眼痛、流泪、看书错行等症状），看远处或近处的物体均眯眼
[3]
。
其他表现：晚上看到眩光和光晕、头痛、夜间视物不清等
[2]
。
如果出现上述症状导致日常活动受到影响时，最好找专业的眼科医生，明确一下具体原因，因为一些其他的眼科病（比如白内障）也会有这些症状
[2]
。
散光有哪些危害？
轻度散光（＜1.00 屈光度（D））一般不会有不适的症状，不影响到视力，一般不需要处理，轻度散光被认为是正常的
[2]
。
如果为中高度散光（1.00 D～3.00 D），如果不矫正，往往会有看东西不清楚、眼睛容易疲劳等眼部不适，甚至还会出现头痛的症状
[2]
。"
结膜炎,"结膜炎的常见表现有哪些？
结膜炎常见的症状有眼红（可以看到眼球表面充血发红，看到清晰的血丝）、异物感、烧灼感、痒、怕光、流泪、分泌物增多（在早上起床可能会出现因分泌物变多而睁眼困难），有时也会有眼痛
[1]
。
过敏性结膜炎的表现有哪些？
过敏性结膜炎为接触过敏原后结膜出现的过敏性炎症反应， 可出现眼部瘙痒、眼红、眼睑肿胀及出现粘稠丝状分泌物等，也可存在全身的过敏症状，如过敏性感染、荨麻疹等。
细菌性结膜炎的表现有哪些？
起先一般是单眼发病，通过手接触传播到双眼。由于致病菌不同，细菌性结膜炎会存在不同程度的眼红、出现脓性或粘液性或者粘液脓性分泌物、畏光、流泪、眼睑红肿。角膜受累者还会出现一定程度的视力下降。
病毒性结膜炎的表现有哪些？
病毒性结膜炎较为典型的症状有眼红、异物感、出现水样分泌物、眼痛、畏光、眼睑水肿等。传染性较强，属于通俗意义上的「红眼病」。
结膜炎恢复后会对身体产生影响吗？
不一定会出现后遗症。
大多数类型的结膜炎不会遗留后遗症，少数可能因为炎症累及角膜而出现视力损害。
较为严重的、慢性的结膜炎可发生不可逆的永久性损害，如出现结膜瘢痕引起粘连、眼睑变形或继发干眼
[1]
。"
青光眼,"青光眼有哪些类型？
青光眼可分为原发性、继发性和发育性三大类：
原发性青光眼
：病因未明，具有遗传性，是主要的青光眼类型，可分为闭角型和开角型两类，发生在成年以后的人群。
闭角型：眼球局部的解剖结构异常，眼部结构的异常可能会加重，对眼睛的不良影响会增加，导致青光眼的发生。
开角型：发病时眼部房角处于正常状态，主要的病因是由于小梁网系统的病理变化
[1]
。
继发性青光眼
：由眼部其它疾病或全身疾病等明确病因所致的一类青光眼，可见于各年龄段人群，常见眼病有角膜白斑或角膜葡萄肿；虹膜睫状体炎后的广泛虹膜后粘连；糖尿病、视网膜中央静脉阻塞的新生血管性青光眼等
[3,4]
。
发育性青光眼
：为眼球在胚胎期和发育期内房角结构发育不良或发育异常所致的一类青光眼，通常在婴幼儿和青少年时期发病。可分为婴幼儿型青光眼、青少年型青光眼
[1]
。
青光眼患者为什么会眼压增高？
眼睛中的角膜、睫状体、晶状体等结构周围，有透明的液体叫做房水，它不断的在眼球各组织中循环，对于保持眼压有重要的作用。
当房水生成增多、排出减少或者循环发生障碍时，就形成了高眼压。 因此，青光眼的治疗也着眼于或增加房水排出，或减少房水生成，以达到降低眼压、保存视功能的目的
[1]
。
青光眼患者眼压增高对眼睛有什么危害？
眼压增高会压迫视神经纤维，同时还会影响视神经的血液循环，导致视神经的损害，患者会出现视神经萎缩、视野缩小、视力减退等症状
[3,4]
。
青光眼有什么症状？
典型青光眼发作会有以下症状：
眼胀、眼痛、虹视、雾视、视力逐渐下降并伴全身症状如头痛、恶心、呕吐等；
眼压波动幅度大 ，早晨起床后看书较吃力；
鼻根部酸胀和眼眶前额胀痛，如喝水较多，在饮水 15～30 分钟后出现眼胀、头痛
[3,4]
。
但也有些青光眼症状不明显，比如开角型青光眼、青少年型青光眼等
[1]
。患者平时没有眼痛，视力也好，随着病情加重，发现视野越来越小，呈管状视野（好比从望远镜里看东西）才来就诊。
青光眼早期症状有什么？
青光眼早期会出现以下情况
[3,4]
，应尽快到医院检查，及早排查青光眼：
有眼疼痛感，可能还伴有头痛；
一过性虹视、雾视现象，看发光体如灯泡周围出现彩虹似的光环；
眼球变硬；
不明原因的视力下降，看东西的范围缩小。
眼睛胀是怎么回事？
眼睛胀常见于劳累、用眼过度、情绪波动等。部分人是由于眼压升高导致。任何人出现眼胀，尤其青光眼高危人群，一定要到眼科检查，排除青光眼。
青光眼患者最后会失明吗？
这种想法笼罩在不少青光眼患者的心头。过去，由于医学界对青光眼的复杂过程认识不全面，科学研究还未阐明其发生和发展的机制，临床治疗手段也很有限，以致一部分青光眼患者最终会失明。
如今随着科学研究的不断深入，人们对青光眼的认识越来越全面，治疗措施也越来越完善，可以说，青光眼患者若能及早发现疾病，积极接受治疗，并遵照医生的嘱咐定期复查，通常是不会失明的
[1]
。
青光眼患者一只眼睛患病，另一只眼睛也会患病吗？
原发性青光眼是双眼性眼病，但双眼发病可有先后；继发性青光眼通常为单眼患病
[1]
。
因此，在一只眼得了青光眼后不可忽视另一只眼的眼压、视野变化，应定期检查，必要时可进行预防性治疗，比如可用降眼压的眼药水，虹膜激光打孔的预防性手术，但这都应在专业医师的指导下进行。
青光眼一定会出现视力下降吗？
早期青光眼的损害可能仅仅表现为视野的缺损，有很大一部分慢性青光眼的患者在病情的晚期中心视力还可以达到 0.8～1.0，但是视野已经明显的缩小了，有的人甚至生活已经不能自理了。
除了检查视力外，视野检查更为重要，
视野改变是诊断青光眼的金标准之一
[1]
，所以不能因为觉着自己视力好就认为自己不会得青光眼。"
白内障,"白内障有哪些表现？
视物模糊，或原本戴眼镜可以看清的东西变得不清，晚上更加看不清东西，这也是白内障最明显和最重要的症状；
看到东西的颜色变淡，有时会对颜色辨别困难；
感觉灯或太阳比以前更加刺眼，且存在光圈；
有时看东西会有重影；
视野范围缺损；
对边界模糊物体的分辨力减弱
[2]
。
白内障视力突然变清晰了是好事吗？
一些中老年人反映老花眼突然变清晰了，这可能是「
白内障进展期晶状体性状改变
」造成的，并不是一件「好事」，需要引起重视，及时检查。"
干眼,"干眼患者多有哪些症状？
干眼常影响双眼，常见的症状有：
眼红、眼痒、眼痛、眼烧灼感；
眼干涩、异物感、怕光亮；
看不清楚东西；
难以忍受隐形眼镜。
天气不好时，如雾霾、风沙等天气时，眼部症状加重
[1]
。
干眼患者会容易流泪吗？
是的，常流泪是干眼的初期症状
[1]
。
虽然听起来很奇怪，但确实有相当一部分干眼患者是由于泪膜平衡被破坏，外界因素易刺激泪腺，产生大量泪水；而且，眼睛太干，会反射性刺激泪液分泌，造成经常流泪的现象
[5]
。
干眼如果不治疗会导致失明吗？
如果干眼不治疗，会发展为更麻烦的角膜溃疡，可能会引起失明。
干眼患者可能并发哪些其他问题？
干眼患者多会同时出现以下并发症：
慢性咳嗽；
头痛；
视力下降：
角膜溃疡。
如果有这些问题，应积极找相应的专科医生进行治疗。"
睑腺炎,"睑腺炎有哪些症状？
发病早期，眼睑可出现发红、肿胀、发热、疼痛等炎性表现，随后，脓液会逐渐积聚，在眼睑上出现黄色脓头，患者常感觉眼中有异物，可能伴畏光、流泪、同侧耳前淋巴结压痛、肿大等症状
[1]
。
睑腺炎可能会引起哪些其他疾病？
并不是所有的患者都会出现并发症，部分患者可能会出现
[1]
：
蜂窝织炎：因为眼睑内血管丰富，其静脉与眼眶静脉、面部静脉、颅腔静脉相通，而且没有静脉瓣来阻止其血液回流，因此炎症一旦扩散，可引起蜂窝织炎，表现为局部皮肤温度升高、肿痛，重者伴有高热（39.1 ℃～41 ℃）和寒战，可能危及生命。
败血症：身体虚弱、免疫力下降的患者难以抵挡病菌侵入血液循环，病菌释放出毒素又导致自身免疫紊乱，激发全身炎症反应，最终引发败血症。表现为寒战、发热、呼吸急促、面色发绀（青紫色）、血压下降等症状。
海绵窦血栓形成：炎症感染扩散，累及一侧或两侧海绵窦（鼻腔上端的颅底骨的两边），从而发生本病。起病骤急，表现为发热、头痛、恶心呕吐等症状。"
过敏性结膜炎,"过敏性结膜炎常见表现是什么？
过敏性结膜炎通常很容易确认，一般是双眼同时出现眼痒、流泪、泛红、球结膜（白眼球）水肿以及眼睑水肿。
眼痒是一个重要的临床特征，小孩子可能会表现为经常的揉眼，揉眼又会加重眼痒症状，少数可能出现眼睛肿胀，继而睁眼困难。
过敏性结膜炎会造成哪些严重后果？
如果眼睛痒、流泪、泛红等症状持续加重，不及时处理的话，可能会因使劲揉眼睛继发细菌性结膜炎、角膜炎，乃至晶状体脱位，视网膜脱离等严重后果。"
贫血,"贫血有哪些表现？
贫血的症状一般与贫血的病因、血红蛋白下降的程度、贫血的发生速度等因素有关，具体如下：
皮肤黏膜： 贫血后，面色、睑结膜、甲床（指甲颜色）、口唇颜色等会变得苍白，若贫血继续发展，皮肤会出现粗糙、皲裂等
[1]
。
神经系统： 表现为头晕、耳鸣、失眠、晕厥、视觉盲点、记忆力下降、肢端麻木，小儿贫血还会出现哭闹不安。
呼吸系统： 表现为活动后呼吸加快加深，重度贫血时还有可能会出现气短，端坐呼吸（指患者为了减轻呼吸困难被迫采取端坐位或半卧位的状态）
[1]
。
循环系统：表现为安静状态下或活动后心跳加快、心慌等
[1]
。
消化系统：表现为消化不良、腹胀、食欲减退、便秘或者腹泻等。缺铁性贫血的患者还会有吞咽异物的感觉
[1]
。而异食癖是缺铁性贫血的特殊表现（患者会吃一些泥土、头发、树叶等不是食物的东西）。
泌尿系统：重度失血性贫血患者可能会出现少尿或无尿的症状
[1]
。
生殖系统：女性会出现月经周期紊乱，月经量增多或减少
[1]
。
免疫系统： 免疫力减低，儿童尤为显著，表现为容易生病
[1]
。
贫血只在体检时发现，但没有贫血的表现，该如何看待这种情况？
大部分贫血是疾病的一种表现而已，只要外周血血红蛋白浓度低于正常值，即便相关临床表现不明显，也可诊断为贫血，更重要的是找出贫血的病因或引起贫血症状的原发疾病。
贫血可能会导致哪些严重后果？
贫血会影响疾病治疗的预后，增加妇女、儿童的死亡率及患病率，影响儿童的认知发育和生长发育
[3]
。
贫血一定会嘴唇发白吗？
在没有寒冷刺激、饥饿的情况下，如果嘴唇颜色比之前明显发白，要考虑是否出现了贫血，最简单的确定方法就是去医院化验血常规。当然也有些人天生嘴唇颜色就比别人白，如果血常规没有异常，可以不用在意。"
